covariance_strategy,score_scale,method,feedback,alpha,pooled_coverage,cross_environment_coverage,worst_coverage,pooled_minimum_trajectory_coverage,cross_minimum_trajectory_coverage,worst_trajectory_coverage,pooled_volume_m3,cross_environment_volume_m3,worst_volume_m3,pooled_p90_volume_m3,cross_environment_p90_volume_m3,worst_rolling_mae,coverage_valid_1pct
correlation_shrink_0.25,loglinear_covariance_time,ACI,calibration_only,0.1,0.8945422535211267,0.9030809859154929,0.8945422535211267,0.7478260869565218,0.8560386473429952,0.7478260869565218,3.998905510689223,4.382744976341071,4.382744976341071,30.23960278186159,44.049732008886714,0.09578872403412003,True
correlation_shrink_0.25_fit_bias,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9009242957746478,0.8972711267605634,0.8972711267605634,0.7681159420289855,0.6903381642512078,0.6903381642512078,2.6261950029946366,4.93588932440097,4.93588932440097,19.081261558672512,29.785622305511573,0.06339272428553268,True
correlation_shrink_0.25_fit_bias,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9017605633802817,0.897887323943662,0.897887323943662,0.7690821256038647,0.6975845410628019,0.6975845410628019,2.7218507830184993,5.036245272176436,5.036245272176436,19.26855292760538,28.87459174242685,0.06197818662024202,True
correlation_shrink_0.75_fit_bias,loglinear_covariance,ACI,calibration_only,0.1,0.8949823943661972,0.906205985915493,0.8949823943661972,0.8096618357487922,0.8883961566888396,0.8096618357487922,2.8422820921422356,5.109619689048494,5.109619689048494,21.95487363739715,33.58070025371358,0.08279783946291565,True
correlation_shrink_0.75_fit_bias,loglinear_covariance_time,ACI,calibration_only,0.1,0.895774647887324,0.9006602112676056,0.895774647887324,0.8115942028985508,0.8495934959349594,0.8115942028985508,2.7367326690456704,5.157962876895538,5.157962876895538,20.825160345717087,37.14412652469301,0.08356745794567907,True
correlation_shrink_0.50_fit_bias,loglinear_covariance,ACI,calibration_only,0.1,0.8901848591549296,0.9080985915492957,0.8901848591549296,0.7072463768115942,0.8748792270531401,0.7072463768115942,3.1553709085707218,6.559687850692119,6.559687850692119,18.73564250518685,40.379299784707634,0.09316189624995648,True
correlation_shrink_0.50_fit_bias,loglinear_covariance_time,ACI,calibration_only,0.1,0.8935739436619718,0.907394366197183,0.8935739436619718,0.7096618357487923,0.878743961352657,0.7096618357487923,3.933321114883469,6.6268503029848445,6.6268503029848445,25.042522500417306,38.188909299959136,0.0944142185264622,True
correlation_shrink_0.25_fit_bias,loglinear_covariance_time,ACI,calibration_only,0.1,0.9003080985915493,0.8905369718309859,0.8905369718309859,0.763768115942029,0.6922705314009662,0.6922705314009662,5.4759060648022775,9.368495001584266,9.368495001584266,33.93707816006008,52.68589996589654,0.08939606047286093,True
correlation_shrink_0.25_fit_bias,loglinear_covariance,ACI,calibration_only,0.1,0.8999119718309859,0.8900088028169014,0.8900088028169014,0.7618357487922706,0.6826086956521739,0.6826086956521739,5.385535396262227,9.382976198387745,9.382976198387745,30.975504706383568,53.084872003225776,0.09169396784418518,True
raw_openvins,constant,AgACI-EWA,calibration_only,0.1,0.9068661971830986,0.9017165492957746,0.9017165492957746,0.78640059127864,0.7930524759793053,0.78640059127864,16.93800113057974,16.988020391168472,16.988020391168472,197.21165909347954,197.09652911876407,0.06002474000645503,True
raw_openvins,constant,ACI,calibration_only,0.1,0.892737676056338,0.8933978873239437,0.892737676056338,0.7653362897265337,0.7653362897265337,0.7653362897265337,19.367765799163447,20.981874141021752,20.981874141021752,266.0034007171764,289.7260243512902,0.0902611850816961,True
raw_openvins,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9246919014084507,0.928125,0.9246919014084507,0.9048433048433049,0.9008448199199645,0.9008448199199645,23.25284220690199,24.95863632182641,24.95863632182641,101.38446463164118,121.41120919507304,0.04911722204301295,True
raw_openvins,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9231514084507042,0.928125,0.9231514084507042,0.904846598488217,0.9026233881725211,0.9026233881725211,23.19920708192266,26.262341928275305,26.262341928275305,94.7548214375077,128.4847103028084,0.052288215745183296,True
raw_openvins,loglinear_covariance,ACI,calibration_only,0.1,0.9132922535211268,0.9158890845070422,0.9132922535211268,0.881159420289855,0.8957264957264958,0.881159420289855,32.05075985489454,38.5772246687293,38.5772246687293,125.83883094655796,184.9137554193252,0.08263438869745238,True
raw_openvins,loglinear_covariance_time,ACI,calibration_only,0.1,0.9118397887323944,0.9161971830985915,0.9118397887323944,0.8816425120772947,0.8945868945868946,0.8816425120772947,35.1594567558317,39.63657627467826,39.63657627467826,160.77959977694186,183.5694975521055,0.08170418048420541,True
whitened_correlation,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9149647887323944,0.9183098591549296,0.9149647887323944,0.7823355506282336,0.7860310421286031,0.7823355506282336,26.599364271843015,57.03724476151953,57.03724476151953,105.71957791968553,263.2759043651709,0.06919617920184058,True
whitened_correlation,constant,AgACI-EWA,calibration_only,0.1,0.8933978873239437,0.911443661971831,0.8933978873239437,0.7838137472283814,0.7742054693274205,0.7742054693274205,26.29671116912147,68.16019195207731,68.16019195207731,345.2360522092857,331.5057836913679,0.07233112458351443,True
raw_openvins_fit_bias,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9156690140845071,0.9158010563380282,0.9156690140845071,0.8945868945868946,0.8843304843304843,0.8843304843304843,48.77854767938457,110.90271977081031,110.90271977081031,185.85133418963295,482.6241298220478,0.05025564767366841,True
raw_openvins_fit_bias,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9148767605633803,0.9170774647887324,0.9148767605633803,0.89002849002849,0.886039886039886,0.886039886039886,48.186809302469086,116.57945902364071,116.57945902364071,182.23677644845006,565.3142850645601,0.050715397424004334,True
raw_openvins_fit_bias,loglinear_covariance,ACI,calibration_only,0.1,0.9096830985915493,0.9006602112676056,0.9006602112676056,0.8859903381642512,0.8842263019857625,0.8842263019857625,68.06332805232715,144.1007892461601,144.1007892461601,237.44910343351802,753.7394944821954,0.0813157878174513,True
raw_openvins_fit_bias,loglinear_covariance_time,ACI,calibration_only,0.1,0.9103433098591549,0.8998239436619718,0.8998239436619718,0.8821256038647343,0.8843304843304843,0.8821256038647343,70.31360277927101,150.87367915413245,150.87367915413245,255.6277362799014,770.8363102644525,0.08266974809021971,True
normalized_empirical_blend_0.25,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9378521126760564,0.7820422535211268,0.7820422535211268,0.8765227021040974,0.17347580138277813,0.17347580138277813,0.032680937095844326,0.03350221812551384,0.03350221812551384,0.09987214304797738,0.07190866863081255,0.19928131839642643,False
normalized_empirical_blend_0.50,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9388644366197183,0.7555017605633803,0.7555017605633803,0.8787375415282392,0.16593337523570081,0.16593337523570081,0.033615409483280095,0.03347206655615279,0.033615409483280095,0.10105143661194768,0.07321109035966347,0.22959086493520245,False
normalized_empirical_blend_0.50,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9399207746478874,0.7584947183098592,0.7584947183098592,0.8787375415282392,0.16090509113764928,0.16090509113764928,0.033752360826053276,0.03228455466418513,0.033752360826053276,0.09972952230257398,0.06883800411199785,0.22484205970918,False
