protocol,covariance_strategy,score_scale,method,feedback,alpha,target_coverage,trajectory_mean_coverage,trajectory_std_coverage,minimum_trajectory_coverage,geometric_mean_median_volume_m3,geometric_mean_p90_volume_m3,rolling_coverage_mae_100,longest_miss_streak,folds,sample_pooled_coverage,coverage_shortfall
cross_environment,raw_openvins,loglinear_covariance_time,AgACI-EWA,recent_300,0.1,0.9,0.8760515850172111,0.020853760248553826,0.8322246858832225,20.776870996094356,105.3366535273109,0.08057494051054669,21.181818181818183,11,0.8739436619718309,0.02605633802816909
cross_environment,standardized_correlation,constant,ACI,recent_100,0.1,0.9,0.8732904161395619,0.02258031834067511,0.8307464892830746,5.658197619285445,59.084529296293596,0.08718564186691861,28.727272727272727,11,0.8718309859154929,0.028169014084507116
cross_environment,standardized_correlation,loglinear_covariance_time,ACI,recent_100,0.1,0.9,0.869318154449218,0.02955244737372696,0.811160384331116,6.243845842789843,46.854015161971844,0.09088909490679555,25.454545454545453,11,0.8663732394366197,0.03362676056338032
cross_environment,normalized_empirical_blend_0.50,loglinear_covariance,ACI,recent_300,0.1,0.9,0.8678203615916913,0.023780287972376683,0.8329637841832964,0.06298194427564816,0.1634210386801299,0.12800940336104005,43.0,11,0.8661531690140845,0.033846830985915566
cross_environment,standardized_correlation,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,0.876673096463669,0.10709347735368993,0.5558019216555802,4.698939336418493,14.769889182966867,0.09853588488013237,40.45454545454545,11,0.8660211267605634,0.0339788732394366
cross_environment,standardized_correlation,loglinear_covariance,ACI,recent_100,0.1,0.9,0.8679185088477311,0.025405832944347586,0.8255728011825573,6.119806996377375,50.11068022360118,0.09485507227455536,26.0,11,0.8660211267605634,0.0339788732394366
cross_environment,normalized_empirical_blend_0.50,loglinear_covariance,AgACI-EWA,recent_300,0.1,0.9,0.8661267478904763,0.027583824090732234,0.8178294573643411,0.04414419687176802,0.12157720096194218,0.09326491230073772,31.636363636363637,11,0.8654489436619718,0.03455105633802824
cross_environment,normalized_empirical_blend_0.50,loglinear_covariance_time,ACI,recent_300,0.1,0.9,0.8670648866361419,0.023438085166693445,0.8329637841832964,0.06505348033092469,0.17858206689661812,0.12337728355590721,41.27272727272727,11,0.8654049295774648,0.03459507042253518
cross_environment,normalized_empirical_blend_0.50,constant,AgACI-EWA,calibration_only,0.1,0.9,0.8524572459167685,0.17010362724302708,0.4739756367663344,0.039411972119717815,0.09204670103087348,0.12786483449037453,89.63636363636364,11,0.8651408450704225,0.034859154929577474
cross_environment,normalized_empirical_blend_0.50,loglinear_covariance_time,AgACI-EWA,recent_300,0.1,0.9,0.8654740570807788,0.0245451779645304,0.8194905869324474,0.04578740947372006,0.13028671652891224,0.09276415020563798,31.818181818181817,11,0.8650968309859155,0.03490316901408452
cross_environment,normalized_empirical_blend_0.50,constant,AgACI-EWA,recent_300,0.1,0.9,0.8644408330407111,0.030062861990558097,0.8156146179401993,0.04384487677671009,0.12728685962390318,0.09335385380617063,34.81818181818182,11,0.8637764084507042,0.036223591549295775
cross_environment,diagonal_openvins,loglinear_covariance,ACI,calibration_only,0.1,0.9,0.8680102065904375,0.06076605055303754,0.7619047619047619,2.08522663768711,19.20664340661937,0.09844000113402643,33.81818181818182,11,0.8632922535211267,0.036707746478873315
cross_environment,correlation_shrink_0.75,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,0.8665412156008941,0.05915784127078391,0.7475083056478405,2.344597019907056,29.474697844069933,0.10080321522534931,37.18181818181818,11,0.8628521126760563,0.037147887323943696
cross_environment,normalized_empirical_blend_0.50,constant,ACI,recent_300,0.1,0.9,0.8635196958800921,0.026698615501044746,0.8191681735985533,0.060997212480682995,0.16056396408764476,0.12668124732116193,45.0,11,0.8618397887323944,0.038160211267605604
cross_environment,raw_openvins,loglinear_covariance_time,ACI,recent_100,0.1,0.9,0.8635800367872769,0.0281429282422659,0.8266888150609081,27.87117608679979,196.9897122936019,0.1033229708197554,31.09090909090909,11,0.8616637323943662,0.0383362676056338
cross_environment,raw_openvins,loglinear_covariance,ACI,recent_100,0.1,0.9,0.8629996611192702,0.0287452278686123,0.8250276854928018,27.702397663494605,190.496477304486,0.10386007585558628,31.727272727272727,11,0.8611355633802817,0.03886443661971828
cross_environment,diagonal_openvins,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,0.8655650393587192,0.06157013589926628,0.7574750830564784,2.145585058984434,21.18551216288594,0.10051390693880556,34.72727272727273,11,0.8609595070422535,0.039040492957746475
cross_environment,normalized_empirical_blend_0.75,constant,ACI,calibration_only,0.1,0.9,0.8509297135018202,0.12032115752809582,0.5514950166112956,0.057616493937383606,0.12961307381181522,0.12832960704037064,60.0,11,0.8573503521126761,0.04264964788732395
cross_environment,whitened_correlation,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,0.8700766976409753,0.12327828576110972,0.5011086474501109,31.328142384305767,193.52608577684302,0.10360482385097046,18.0,11,0.857306338028169,0.042693661971831
cross_environment,raw_openvins,constant,ACI,recent_300,0.1,0.9,0.8575547872091298,0.016696851385730547,0.8311804008908686,25.478881188848725,78.12438573803786,0.1417838413387938,43.09090909090909,11,0.8568221830985916,0.04317781690140843
